"filename","testsuite","type","test","result","start","end","time"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute gene-based test pipeline with bgen files","PASSED","1708860471329","1708860498029","26.7"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute gene-based test pipeline with specified parameters with sum","PASSED","1708860498032","1708860654220","156.188"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute gene-based test pipeline","PASSED","1708860654220","1708860683086","28.866"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with pruning pipeline","PASSED","1708860683087","1708860722453","39.366"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with additive test and multiple chromosomes","PASSED","1708860722454","1708860763914","41.46"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute liftover and GWAS pipeline with array results","PASSED","1708860763915","1708860801832","37.917"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute liftover and GWAS pipeline","PASSED","1708860801832","1708860838962","37.13"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with additive test and RSIDs","PASSED","1708860838962","1708860877932","38.97"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute pipeline applying an additive model","PASSED","1708860877932","1708860917323","39.391"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute pipeline for binary trait","PASSED","1708860917323","1708860956453","39.13"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with binary trait (no Firth approximation)","PASSED","1708860956454","1708860995763","39.309"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with binary trait (no Firth)","PASSED","1708860995763","1708861034360","38.597"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with binary trait (with missing data)","PASSED","1708861034361","1708861072878","38.517"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with additive test on 2 chromosomes","PASSED","1708861072878","1708861116189","43.311"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with header in phenotype file with chunking","PASSED","1708861116189","1708861184321","68.132"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with header in phenotype file (custom batch size)","PASSED","1708861184322","1708861255946","71.624"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with header in phenotype file (default batch size)","PASSED","1708861255946","1708861325086","69.14"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with condition file","PASSED","1708861325087","1708861366981","41.894"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with covariates file","PASSED","1708861366982","1708861409193","42.211"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with deletion of missing phenotype data","PASSED","1708861409193","1708861449350","40.157"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with dominant test","PASSED","1708861449351","1708861491014","41.663"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with force step 1","PASSED","1708861491014","1708861531143","40.129"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with header in phenotype file","PASSED","1708861531143","1708861569907","38.764"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with liftover to hg38 and annotation","PASSED","1708861569907","1708861609434","39.527"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with interaction tests","PASSED","1708861609434","1708861646019","36.585"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with interaction tests (interaction term)","PASSED","1708861646019","1708861679899","33.88"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with custom Manhattan plot y-limit","PASSED","1708861679900","1708861720563","40.663"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with phenotype file in tabs format","PASSED","1708861720564","1708861761317","40.753"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with phenotype file containing three empty values","PASSED","1708861761317","1708861801906","40.589"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with range filter","PASSED","1708861801906","1708861841287","39.381"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with recessive test","PASSED","1708861841287","1708861881052","39.765"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with skipped predictions","PASSED","1708861881052","1708861917584","36.532"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute pipeline for binary trait with optional regenie params","PASSED","1708861917585","1708861955814","38.229"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute pipeline for binary trait with optional regenie step1 param","PASSED","1708861955814","1708861994412","38.598"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should GWAS with chunking and optional step 1 param","PASSED","1708861994413","1708862061963","67.55"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute gene-based-test with only one output file","PASSED","1708862061963","1708862088501","26.538"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should fail since no phenotype is specified","PASSED","1708862088501","1708862090598","2.097"
"/Users/lukfor/Development/git/nf-gwas/tests/main.nf.test","Test Workflow main.nf","PipelineTestSuite","Should execute GWAS with additive testing with no significant hits","PASSED","1708862090598","1708862130392","39.794"
"/Users/lukfor/Development/git/nf-gwas/tests/modules/local/filter_results.nf.test","Test Process FILTER_RESULTS","ProcessTestSuite","Should output only 117 filtered lines","PASSED","1708862130399","1708862135248","4.849"
